Year,MO,DY,WS2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM
2016,1,1,1.56,7.99,24.2,-5.54,0.0,2.63,99.47,260.44,2.80,13.031
2016,1,2,1.74,9.89,24.13,-7.67,0.0,2.95,99.46,290.31,2.81,13.04
2016,1,3,2.16,7.19,25.49,-7.45,0.0,3.66,99.21,290.69,2.803,13.044
2016,1,4,0.82,9.39,23.85,-2.77,0.0,1.43,99.29,231.0,2.822,13.065
2016,1,5,0.94,13.71,27.44,-0.77,0.0,1.35,99.11,229.31,2.842,13.086
2016,1,6,1.21,12.14,25.99,1.94,0.0,2.01,99.06,86.25,2.861,13.107
2016,1,7,1.02,13.46,26.19,2.61,0.0,1.9,99.2,202.19,2.881,13.183
2016,1,8,2.55,12.19,25.27,2.55,0.0,4.05,99.13,289.25,2.901,13.258
2016,1,9,3.24,7.99,23.83,-0.35,0.0,4.88,98.91,286.94,2.921,13.334
2016,1,10,1.62,7.08,24.64,-0.72,0.0,2.58,99.08,292.62,2.944,13.417
2016,1,11,0.91,10.3,24.4,0.51,0.0,1.29,99.13,291.0,2.966,13.501
2016,1,12,1.37,11.15,25.58,-0.92,0.0,2.22,98.91,151.31,2.989,13.584
2016,1,13,1.39,9.37,24.71,0.17,0.0,2.44,98.85,220.12,3.03,13.744
2016,1,14,1.41,8.98,21.14,-0.63,0.0,2.54,98.98,291.12,3.071,13.904
2016,1,15,1.73,6.18,22.5,-0.18,0.0,3.06,98.96,302.62,3.112,14.064
2016,1,16,2.4,6.05,22.97,0.13,0.0,3.94,98.76,289.12,3.138,14.226
2016,1,17,1.03,5.9,22.15,-2.69,0.0,1.92,98.91,253.56,3.164,14.388
2016,1,18,1.31,6.76,22.26,-3.94,0.0,2.27,98.85,299.5,3.19,14.55
2016,1,19,1.38,7.36,21.83,-5.38,0.0,2.4,98.83,258.81,3.217,14.654
2016,1,20,1.75,4.61,20.5,-3.35,0.0,3.1,99.09,282.56,3.243,14.759
2016,1,21,2.16,3.7,21.49,-7.7,0.0,3.76,99.25,288.5,3.27,14.863
2016,1,22,1.36,3.54,21.85,-9.74,0.0,2.25,99.23,277.44,3.315,15.051
2016,1,23,1.31,8.18,22.91,-8.99,0.0,2.15,99.32,257.56,3.361,15.24
2016,1,24,1.52,5.74,22.3,-8.68,0.0,2.75,99.22,309.31,3.406,15.428
2016,1,25,1.59,3.54,21.12,-10.92,0.0,2.75,99.09,296.69,3.389,15.468
2016,1,26,0.85,7.99,24.97,-10.44,0.0,1.32,98.95,223.44,3.371,15.509
2016,1,27,1.19,9.58,24.19,-7.58,0.0,1.99,98.88,223.5,3.354,15.549
2016,1,28,2.08,7.75,26.37,-2.97,0.0,3.66,98.9,297.94,3.39,15.688
2016,1,29,1.02,12.38,26.08,0.02,0.02,1.59,99.03,219.5,3.426,15.828
2016,1,30,1.09,14.3,27.9,4.05,0.14,1.88,98.93,222.12,3.462,15.967
2016,1,31,2.36,11.9,26.09,2.0,0.0,3.77,98.94,304.31,3.453,16.083
2016,2,1,2.09,6.94,25.53,-6.46,0.0,3.62,99.1,307.25,3.443,16.198
2016,2,2,1.89,5.9,23.15,-6.49,0.0,3.36,99.15,296.25,3.434,16.314
2016,2,3,2.69,6.07,24.68,-5.15,0.0,4.3,99.11,296.25,3.756,16.214
2016,2,4,2.05,6.14,25.79,-5.88,0.0,3.52,99.07,294.19,4.077,16.113
2016,2,5,1.65,6.39,26.55,-6.74,0.0,2.96,98.95,292.81,4.399,16.013
2016,2,6,1.48,8.73,27.16,-7.25,0.0,2.53,98.67,184.06,4.244,16.807
2016,2,7,1.65,10.18,23.82,-0.67,2.56,2.82,98.8,146.31,4.09,17.601
2016,2,8,1.47,8.62,24.55,5.1,0.01,2.63,99.06,254.25,3.935,18.395
2016,2,9,1.72,8.43,26.09,3.65,0.0,3.05,98.86,297.19,3.812,18.141
2016,2,10,1.3,8.63,26.19,-0.85,0.0,2.13,98.63,251.81,3.689,17.887
2016,2,11,2.24,9.34,26.35,-4.4,0.0,3.72,98.49,195.81,3.566,17.633
2016,2,12,1.51,7.04,26.41,-10.7,0.0,2.86,98.66,276.62,3.522,17.353
2016,2,13,1.34,9.38,26.25,-5.79,0.0,2.48,98.81,185.0,3.478,17.073
2016,2,14,1.74,8.25,25.89,-2.54,0.33,3.07,99.04,303.81,3.434,16.793
2016,2,15,1.62,6.55,24.24,-5.56,0.0,2.91,99.21,299.0,3.412,16.598
2016,2,16,1.69,7.25,26.33,-5.99,0.0,3.07,99.31,307.25,3.391,16.404
2016,2,17,1.6,9.73,28.36,-3.69,0.07,2.85,99.28,319.62,3.369,16.209
2016,2,18,1.98,15.88,29.86,3.23,0.2,3.27,99.05,313.44,3.369,16.081
2016,2,19,1.25,17.9,29.55,5.86,0.02,2.09,98.9,309.56,3.368,15.952
2016,2,20,1.66,17.12,29.64,9.17,2.92,2.68,98.86,251.25,3.368,15.824
2016,2,21,3.64,13.53,29.4,3.08,0.0,5.48,98.82,294.25,3.249,15.507
2016,2,22,3.55,10.36,31.1,-4.13,0.0,5.47,98.76,287.69,3.131,15.189
2016,2,23,2.1,9.31,31.14,-6.67,0.0,3.6,98.66,272.31,3.012,14.872
2016,2,24,1.14,11.43,32.33,-6.4,0.0,1.98,98.65,233.56,2.955,14.606
2016,2,25,0.99,11.93,30.26,-5.91,0.0,1.47,98.94,154.12,2.897,14.34
2016,2,26,1.38,13.37,31.05,-5.02,0.0,2.16,99.2,171.5,2.84,14.074
2016,2,27,1.02,13.55,30.78,-5.65,0.0,1.55,99.22,248.69,2.823,13.854
2016,2,28,0.73,16.33,30.33,-5.28,0.0,1.02,99.27,203.06,2.807,13.633
2016,2,29,0.91,15.12,31.45,-4.7,0.0,1.4,99.24,211.5,2.79,13.413
2016,3,1,1.41,15.08,32.63,-4.45,0.0,2.26,98.94,296.62,2.855,13.383
2016,3,2,1.35,17.37,34.26,-2.11,0.0,2.17,98.9,291.62,2.921,13.352
2016,3,3,2.06,16.48,34.87,0.64,0.0,3.4,98.89,243.25,2.986,13.322
2016,3,4,2.05,16.22,35.48,2.66,0.0,3.46,98.63,309.88,2.982,13.549
2016,3,5,1.76,16.45,33.96,3.77,1.17,2.87,98.6,223.75,2.979,13.777
2016,3,6,1.84,17.71,33.29,6.45,0.39,2.83,98.68,146.38,2.975,14.004
2016,3,7,1.73,15.53,31.54,7.54,0.33,2.82,98.68,299.25,2.938,13.863
2016,3,8,2.2,15.54,31.69,5.84,0.0,3.42,98.57,287.94,2.902,13.722
2016,3,9,1.94,14.48,31.51,4.83,0.0,3.23,98.59,287.94,2.865,13.581
2016,3,10,2.24,15.26,34.1,6.78,0.0,3.65,98.69,298.38,4.113,14.953
2016,3,11,1.8,20.81,34.9,9.64,3.29,2.84,98.61,188.5,5.362,16.326
2016,3,12,2.61,19.51,33.66,12.33,16.53,3.92,98.41,132.56,6.61,17.698
2016,3,13,2.18,16.9,29.26,11.91,0.78,3.33,98.45,191.94,5.638,18.187
2016,3,14,1.15,17.18,29.55,8.64,1.07,2.02,98.75,189.88,4.666,18.675
2016,3,15,2.11,13.79,28.33,5.58,0.0,3.48,98.88,298.56,3.694,19.164
2016,3,16,3.02,12.49,30.83,3.22,0.0,4.62,98.65,294.81,3.574,18.599
2016,3,17,1.63,15.43,31.77,7.43,0.75,2.73,98.48,217.75,3.453,18.035
2016,3,18,2.05,18.23,33.33,8.84,0.1,2.95,98.39,134.0,3.333,17.47
2016,3,19,0.85,18.04,34.88,8.52,0.65,1.23,98.33,196.88,3.192,16.801
2016,3,20,1.34,19.86,33.94,8.5,0.56,2.11,98.4,198.62,3.051,16.132
2016,3,21,4.3,16.21,32.33,2.65,0.01,6.39,98.52,312.12,2.91,15.463
2016,3,22,4.39,13.07,33.44,-2.2,0.0,6.57,98.26,296.56,2.833,14.86
